ID,Topic,Question,class_name,class_id,Combined_Paragraph,Combined_Fact
Complex3,Rối loạn lo âu,"Chào bác sĩ. Con không biết phải diễn tả tình trạng của mình sao cho đầy đủ. Con rất dễ bị ám ảnh bởingười khác, đặc biệt là người mình ghét. Cứ hễ ai làm tổn thương con hay làm con ghét là suốt ngày hìnhảnh người đó cứ xuất hiện trong đầu con. Thậm chí có người ám ảnh con gần nửa năm. Con cảm thấyviệc người khác cứ lẩn quẩn trong đầu mình khiến con không tập trung làm việc khác là điều rất ngớngẩn. Con tự trách và khó chịu với chính bản thân mình rất nhiều. Vậy việc cứ bị ám ảnh với người mìnhghét có phải là một loại bệnh lí không ạ? Con cảm ơn",anxiety,1,"Chào bạn,Nếu những triệu chứng của bạn xuất hiện thường xuyên, hầu như mỗi ngày và kéo dài liêntục từ 2 tuần trở lên thì có thể gợi ý tới chứng rối loạn lo âu. Khi đó, bạn cần thăm khámtrực tiếp tại cơ sở khám chữa bệnh chuyên khoa sức khỏe tâm thần càng sớm càng tốt đểđiều trị kịp thời, tránh kéo dài có thể dẫn tới những hậu quả nghiêm trọng nhé.Trường hợp những triệu chứng không xuất hiện thường xuyên và kéo dài chưa đủ 2 tuần thìcó thể bạn đang trải qua trạng thái căng thẳng quá mức. Nỗi ám ảnh xã hội (hay Rối loạn lo âu xã hội): Là một rối loạn lo âu đặc trưng bởi sự lo lắng quá mức trong các tình huống xã hội hàng ngày. Lo sợ và lo âu ở những người có ám ảnh sợ xã hội thường tập trung vào việc bị xấu hổ hoặc bị bẽ mặt nếu họ không đáp ứng được mong đợi. Ví dụ như sợ nói trước đám đông, sợ ánh đèn sân khấu, sợ gặp gỡ người lạ, … Những biểu hiện để nhận biết một người đang bị stress là:Rối lọan trí nhớ, nhiều người đãng trí hay quên Công việc không thể tập trung, phán đoán kémLo âu thường xuyên hoặc lo lắng quá mức. Tâm trạng của người bị stress luôn thấy buồn rầu, ủ rủ, hay cáu gắt, cộc cằn. Bị kích động, khó bình tĩnh, cảm giác cô đơn hoặc bị cô lập, chán nản.Về cơ thể của người stress thường cảm thấy đau nhức, có thể bị tiêu chảy hay táo bón. Hay cảm thấy chóng mặt, buồn nôn, đau ngực, đánh trống ngực, hay bị cảm lạnh, mất ham muốn tình dục...Hằng ngày người bị stress chán ăn hoặc ăn quá nhiều, mất ngủ hoặc ngủ quá nhiều, tự cô lập.Thích uống rựơu, hút thuốc nhiều hơn, những thói quen biểu lộ sự bồn chồn như cắn móng tay, đứng ngồi không yên, hay đi lại một mình…","Nếu những triệu chứng của bạn xuất hiện thường xuyên, hầu như mỗi ngày và kéo dài liêntục từ 2 tuần trở lên thì có thể gợi ý tới chứng rối loạn lo âu. Khi đó, bạn cần thăm khámtrực tiếp tại cơ sở khám chữa bệnh chuyên khoa sức khỏe tâm thần càng sớm càng tốt. Trường hợp những triệu chứng không xuất hiện thường xuyên và kéo dài chưa đủ 2 tuần thìcó thể bạn đang trải qua trạng thái căng thẳng quá mức. Lo sợ và lo âu ở những người có ám ảnh sợ xã hội thường tập trung vào việc bị xấu hổ hoặc bị bẽ mặt nếu họ không đáp ứng được mong đợi. Ví dụ như sợ nói trước đám đông, sợ ánh đèn sân khấu, sợ gặp gỡ người lạ, … Những biểu hiện để nhận biết một người đang bị stress là:Rối lọan trí nhớ, nhiều người đãng trí hay quên Công việc không thể tập trung, phán đoán kémLo âu thường xuyên hoặc lo lắng quá mức. Tâm trạng của người bị stress luôn thấy buồn rầu, ủ rủ, hay cáu gắt, cộc cằn. Bị kích động, khó bình tĩnh, cảm giác cô đơn hoặc bị cô lập, chán nản. Các triệu chứng về cơ thể như mất ngủ, chán ăn, chóng mặt, buồn nôn ..."
What8,Thực phẩm tốt cho người trầm cảm,selen có tác dụng gì,depression,3,"Khác với magie và canxi, selen là khoáng chất chỉ chiếm một lượng rất nhỏ trong cơ thể. Mặc dù vậy, đây là khoáng chất vô cùng quan trọng đối với sức khỏe tinh thần và thể chất. Selen có tác dụng thanh thải độc tố ra khỏi cơ thể và giữ vai trò “then chốt” trong việc chống oxy hóa. Với hiệu quả tiêu trừ gốc tự do, selen giúp bảo vệ hệ thần kinh trung ương và hỗ trợ làm giảm các rối loạn cảm xúc có liên quan đến gốc tự do.",Selen có tác dụng thanh thải độc tố ra khỏi cơ thể và giữ vai trò “then chốt” trong việc chống oxy hóa.
What9,Tác hại của trầm cảm khi mang thai ,Các tác hại của trầm cảm khi mang thai?,depression,3,"Một tác hại của trầm cảm khi mang thai cực kỳ nghiêm trọng khác chính là người mẹ có thể có suy nghĩ từ bỏ con. Người mẹ có thể cho rằng đứa bé chính là nguyên nhân khiến họ khổ sở như vậy hoặc suy nghĩ rằng nếu mình chết thì đứa bé cũng sẽ khổ, vì vậy tìm cách để tự tử hoặc giết đứa bé. Đặc biệt nếu trong giai đoạn này gia đình không có hướng phát hiện kịp thời, xảy ra những tranh cãi với chồng hay mọi người trong gia đình,  không có ai bên cạnh hỗ trợ động viên tinh thần thai phụ thì sẽ rất dễ xảy ra tình trạng này. Tăng nguy cơ bị huyết áp cao cũng là một trong những tác hại của trầm cảm khi mang thai mà mẹ bầu không nên bỏ qua. Nguyên nhân là do sự căng thẳng quá mức do trầm cảm, thiếu vận động, hoặc ở những người tăng cân đột ngột khi mang thai. Từ huyết áp có thể gây ra rất nhiều biến chứng khác như tiểu đường thai kỳ, tiền sản giật hay Hội chứng HELLP – HELLP. Đặc biệt các biến chứng này đều có thể gây tử vong cực kỳ nguy hiểm. Mẹ có thể nhận biết một số dấu hiệu của huyết áp cao như sưng ở tay và mặt, giảm thị lực, nhức đầu hay nôn mửa thì cần đi khám ngay lập tức.",Một tác hại của trầm cảm khi mang thai cực kỳ nghiêm trọng khác chính là người mẹ có thể có suy nghĩ từ bỏ con. Tăng nguy cơ bị huyết áp cao cũng là một trong những tác hại của trầm cảm khi mang thai mà mẹ bầu không nên bỏ qua.
What10,Rối loạn lo âu,- Các tiêu chuản nào phải đạt được trong khám lâm sàng hoặc xét nghiệm để đủ điều kiện chẩn đoán một người bị rối loạn lo âu do một chất/thuốc ?,anxiety,1,"A. Cơn hoảng sợ hoặc lo âu chiếm ưu thế trong bệnh cảnh lâm sàng.B. Có bằng chứng từ bệnh sử, khám lâm sàng hoặc xét nghiệm cả hai (1) và (2):1. Các triệu chứng trong tiêu chuẩn A phát triển trong hoặc ngay sau khi ngộ độc hoặc trong hội chứng cai hoặc sau khi tiếp xúc với một loại thuốc.2. Các chất/thuốc có liên quan có khả năng gây các triệu chứng trong tiêu chuẩn A.",1. Các triệu chứng trong tiêu chuẩn A phát triển trong hoặc ngay sau khi ngộ độc hoặc trong hội chứng cai hoặc sau khi tiếp xúc với một loại thuốc.2. Các chất/thuốc có liên quan có khả năng gây các triệu chứng trong tiêu chuẩn A.
Complex4,Quản lí căng thẳng,"Một bệnh nhân bị căng thẳng mãn tính và đã được kê đơn thuốc an thần để giúp kiểm soát các triệu chứng lo âu và mất ngủ. Sau một thời gian, bệnh nhân cho biết vẫn còn căng thẳng và yêu cầu bác sĩ kê thêm một loại thuốc khác để tăng hiệu quả điều trị. Bác sĩ nên đưa ra quyết định như thế nào?",anxiety,1,"Thuốc an thần (thuốc ngủ) có tác dụng xoa dịu thần kinh, gây ngủ và giảm lo âu và thường dùng trong thời gian ngắn giai đoạn đầu cấp tính hoặc chờ đợi tác dụng điều trị của các thuốc chống trầm cảm hoặc chống lo âu· vì có nguy cơ gây phụ thuộc. Thuốc an thần bao gồm thuốc ngủ nhóm benzodiapine và non-benzodiapine, cả hai nhóm thuốc này đều có nguy cơ lệ thuộc nếu dùng kéo dài mà không có sự chỉ dẫn của bác sĩ. Một số thuốc phổ biến là alprazolam, clonazepam, diazepam, bromazepam (tên dân gian là thuốc 4 khía), zopiclone,… Thời gian sử dụng các thuốc giảm căng thẳng sẽ tùy thuộc vào chỉ định điều trị và mục đích điều trị của mỗi bác sĩ. Thông thường, nếu điều trị căng thẳng lo âu đơn thuần thì chỉ sử dụng các thuốc này trong vòng 2-4 tuần để cải thiện triệu chứng. Nếu nguyên nhân gây căng thẳng là bởi các rối loạn lo âu, trầm cảm, các bác sĩ thường sẽ sử dụng nhiều loại thuốc điều trị kết hợp. Trong đó, SSRIs và SNRIs hoặc các thuốc chống trầm cảm khác phổ biến có thể được sử dụng kéo dài vài tháng đến vài năm để điều trị và dự phòng tái phát. Một số chỉ định của việc sử dụng thuốc giảm căng thẳng: Mức độ căng thẳng nặng nề và ảnh hưởng đến cuộc sống: giảm tập trung, hay quên, giảm năng suất học tập và làm việc so với trước, dễ nóng giận và cáu gắt làm đổ vỡ các mối quan hệ trong gia đình và xã hội, … Nguyên nhân căng thẳng được xác định có thể do các rối loạn tâm thần gây ra như lo âu, trầm cảm, ám ảnh cưỡng chế,… Sử dụng thuốc trong những trường hợp này thường sẽ kéo dài hơn tùy thuộc phác đồ điều trị của mỗi rối loạn nhưng vẫn sẽ đảm bảo an toàn cho người sử dụng nếu đúng liều lượng và đúng chỉ định.","Thuốc ức chế tái hấp thu có chọn lọc serotonin (SSRIs) thường được dùng phổ biến trong điều trị trầm cảm và lo âu. Nhóm thuốc này ngăn chặn tế bào thần kinh tái hấp thu serotonin ở khe synap thần kinh để lượng serotonin trong não nhiều hơn. Hãy nhớ thuốc chỉ có tác dụng điều trị tạm thời các triệu chứng và sau khi ngưng dùng thì các triệu chứng có thể tái phát, thậm chí còn nặng hơn lúc đầu. Sử dụng thuốc trong những trường hợp này thường sẽ kéo dài hơn tùy thuộc phác đồ điều trị của mỗi rối loạn nhưng vẫn sẽ đảm bảo an toàn cho người sử dụngI1458:N1458 nếu đúng liều lượng và đúng chỉ định."
Complex5,Trầm cảm,"Thảo là một sinh viên đại học 20 tuổi. Gần đây, cô thường xuyên cảm thấy buồn và mệt mỏi. Cô không còn có hứng thú với các hoạt động mà cô yêu thích như trước, thậm chí cả việc gặp gỡ bạn bè hay đi dạo cũng không còn là điều Thảo cảm thấy vui vẻ nữa. Cô cũng gặp khó khăn trong việc tập trung vào học tập và thường xuyên cảm thấy mệt mỏi, dù đã ngủ đủ giấc. Những cảm xúc này đã ảnh hưởng đến khả năng Thảo tham gia vào cuộc sống hàng ngày và cô cảm thấy cô đơn và không có giá trị. Thảo có thể đang mắc bệnh tâm lý nào?",depression,3,"Trầm cảm đặc trưng bởi cảm xúc bị ức chế với đặc điểm chính là sự chán nản, buồn bã sâu sắc và giảm hứng thú với mọi thứ xung quanh. Mức độ của các triệu chứng sẽ ngày càng nghiêm trọng nếu không được thăm khám và điều trị sớm. Khi cảm xúc bị ức chế, tư duy sẽ xuất hiện các biểu hiện bất thường. Do đó ngoài những triệu chứng cảm xúc, bệnh nhân trầm cảm cũng có những biểu hiện bất thường về mặt tư duy bệnh trầm cảm còn gây ra các triệu chứng cơ thể. Các triệu chứng này thường xảy ra song song với các biểu hiện về mặt cảm xúc, tư duy và hành động. Có sự giảm sút về năng lượng rõ rệt Cơ thể luôn trong trạng thái không có sức lực, mệt mỏi và uể oải Nữ giới: lãnh cảm, rối loạn kinh nguyệt, khô rát âm đạo và mất kinh,…Nam giới: rối loạn cương dương, xuất tinh sớm, giảm ham muốn,…Khó thở, đổ mồ hôi trộm, đánh trống ngực Trương lực cơ giảm Giảm khả năng hấp thu dinh dưỡng, chán ăn, tiêu chảy, táo bón,…Có triệu chứng của hội chứng ruột kích thích và loét dạ dày Trầm cảm hay rối loạn trầm cảm (Depression/ Major depressive disorder) là một dạng rối loạn cảm xúc đặc trưng bởi khí sắc trầm cảm, mất hứng thú, bi quan và buồn bã kéo dài.Thông thường, con người có cơ chế tự chữa lành đầy mạnh mẽ. Tuy hiên, bệnh nhân gần như không thể điều chỉnh tâm trạng, và ngày càng lún sâu vào cảm xúc tiêu cực.Ban đầu, trầm cảm chỉ ảnh hưởng đến sức khỏe tâm thần. Nhưng về lâu dài, bệnh gây ra những tác động tiêu cực đối với sức khỏe thể chất.Bệnh ảnh hưởng đến hiệu suất lao động, học tập và các mối quan hệ xã hội. Bệnh nhân có xu hướng tự cô lập, và có hành vi tự sát.Trong những năm gần đây, tỷ lệ người bệnh đang có xu hướng tăng lên – đặc biệt là người trẻ tuổi.Theo thống kê của Trung tâm Kiểm soát và Phòng ngừa dịch bệnh (CDC), có khoảng 8.1% người Mỹ và 5% dân số thế giới bị rối loạn trầm cảm. Các triệu chứng của trầm cảm có thể gây ra nhiều ảnh hưởng tiêu cực đối với người bệnh. Trầm cảm khiến họ mất hứng thú và cảm thấy buồn rầu liên tục, dẫn đến sự mệt mỏi về cả thể chất lẫn tinh thần. Họ gặp khó khăn trong việc tập trung, ra quyết định và hoàn thành các nhiệm vụ hằng ngày, từ đó làm giảm hiệu suất làm việc và học tập. Cảm xúc tiêu cực như lo lắng, sợ hãi và cảm giác cô đơn thường xuyên xuất hiện, làm ảnh hưởng đến khả năng duy trì mối quan hệ xã hội và gia đình. Các suy nghĩ tiêu cực và ý nghĩ tự tổn thương, thậm chí là suy nghĩ về tự sát, cũng có thể hiện diện. Tất cả những điều này có thể dẫn đến một cảm giác tự ti và thiếu tự tin, khiến cho người bệnh cảm thấy không có giá trị và thiếu hi vọng vào tương lai. Các triệu chứng chủ yếu của trầm cảm: Giảm khí sắc: bệnh nhân cảm thấy buồn vô cớ, chán nản, ảm đạm, thất vọng, bơ vơ và bất hạnh, cảm thấy không có lối thoát. Đôi khi nét mặt bất động, thờ ơ, vô cảm. Mất mọi quan tâm và thích thú: là triệu chứng hầu như luôn xuất hiện. Bệnh nhân thường phàn nàn về cảm giác ít thích thú, ít vui vẻ trong các hoạt động sở thích cũ hay trầm trọng hơn là sự mất nhiệt tình, không hài lòng với mọi thứ. Thường xa lánh, tách rời xã hội, ngại giao tiếp với mọi người xung quanh. Giảm năng lượng dẫn đến tăng mệt mỏi và giảm hoạt động.","Các triệu chứng này thường xảy ra song song với các biểu hiện về mặt cảm xúc, tư duy và hành động. Có sự giảm sút về năng lượng rõ rệt Cơ thể luôn trong trạng thái không có sức lực, mệt mỏi và uể oải Nữ giới: lãnh cảm, rối loạn kinh nguyệt, khô rát âm đạo và mất kinh,…Nam giới: rối loạn cương dương, xuất tinh sớm, giảm ham muốn,…Khó thở, đổ mồ hôi trộm, đánh trống ngực Trương lực cơ giảm Giảm khả năng hấp thu dinh dưỡng, chán ăn, tiêu chảy, táo bón,…Có triệu chứng của hội chứng ruột kích thích và loét dạ dày Trầm cảm hay rối loạn trầm cảm (Depression/ Major depressive disorder) là một dạng rối loạn cảm xúc đặc trưng bởi khí sắc trầm cảm, mất hứng thú, bi quan và buồn bã kéo dài.Thông thường, con người có cơ chế tự chữa lành đầy mạnh mẽ. Tuy hiên, bệnh nhân gần như không thể điều chỉnh tâm trạng, và ngày càng lún sâu vào cảm xúc tiêu cực.Ban đầu, trầm cảm chỉ ảnh hưởng đến sức khỏe tâm thần. Nhưng về lâu dài, bệnh gây ra những tác động tiêu cực đối với sức khỏe thể chất. Các triệu chứng chủ yếu của trầm cảm: Giảm khí sắc: bệnh nhân cảm thấy buồn vô cớ, chán nản, ảm đạm, thất vọng, bơ vơ và bất hạnh, cảm thấy không có lối thoát. Đôi khi nét mặt bất động, thờ ơ, vô cảm. Mất mọi quan tâm và thích thú: là triệu chứng hầu như luôn xuất hiện. Bệnh nhân thường phàn nàn về cảm giác ít thích thú, ít vui vẻ trong các hoạt động sở thích cũ hay trầm trọng hơn là sự mất nhiệt tình, không hài lòng với mọi thứ. Thường xa lánh, tách rời xã hội, ngại giao tiếp với mọi người xung quanh. Giảm năng lượng dẫn đến tăng mệt mỏi và giảm hoạt động."
How4,Những điều cần biết khi người yêu bị trầm cảm,Những người bị bệnh trầm cảm thường sẽ như thế nào?,depression,3,"Những người bị bệnh trầm cảm thường sẽ thay đổi cảm xúc đột ngột, họ rất dễ nổi giận, cáu kỉnh, thực hiện những hành vi hoặc nói những điều gây tổn thương đến người khác. Nếu người yêu của bạn bị trầm cảm, bạn đừng nên phản ứng mạnh khi đối mặt với những điều này, ngược lại hãy nhẹ nhàng chia sẻ với họ về những cảm xúc của bạn và giúp họ thay đổi tốt hơn.","Những người bị bệnh trầm cảm thường sẽ thay đổi cảm xúc đột ngột, họ rất dễ nổi giận, cáu kỉnh, thực hiện những hành vi hoặc nói những điều gây tổn thương đến người khác."
Yes No8,Trầm cảm u sầu (Melancholia),Trầm cảm u sầu có gì khác với các chứng trầm cảm khác?,depression,3,"Trầm cảm u sầu cũng là bệnh tiến triển theo nhiều giai đoạn. Trầm cảm u sầu khác biệt hơn so với các chứng bệnh trầm cảm thường ở chỗ người mắc sẽ có xu hướng mất ngủ, chán ăn, không thể cảm thấy hạnh phúc bằng mọi cách. Ngược lại, một số trường hợp bị các dạng trầm cảm khác thì có thể ngủ hay ăn quá mức, đôi lúc tinh thần vẫn phấn khởi trong một số hoàn cảnh.","Trầm cảm u sầu khác biệt hơn so với các chứng bệnh trầm cảm thường ở chỗ người mắc sẽ có xu hướng mất ngủ, chán ăn, không thể cảm thấy hạnh phúc bằng mọi cách. Ngược lại, một số trường hợp bị các dạng trầm cảm khác thì có thể ngủ hay ăn quá mức, đôi lúc tinh thần vẫn phấn khởi trong một số hoàn cảnh"
Complex10,Trầm cảm,"Thảo là một sinh viên đại học 20 tuổi. Gần đây, cô thường xuyên cảm thấy buồn và mệt mỏi. Cô không còn có hứng thú với các hoạt động mà cô yêu thích như trước, thậm chí cả việc gặp gỡ bạn bè hay đi dạo cũng không còn là điều Thảo cảm thấy vui vẻ nữa. Cô cũng gặp khó khăn trong việc tập trung vào học tập và thường xuyên cảm thấy mệt mỏi, dù đã ngủ đủ giấc. Những cảm xúc này đã ảnh hưởng đến khả năng Thảo tham gia vào cuộc sống hàng ngày và cô cảm thấy cô đơn và không có giá trị. Thảo có thể đang mắc bệnh tâm lý nào?",depression,3,"Trầm cảm đặc trưng bởi cảm xúc bị ức chế với đặc điểm chính là sự chán nản, buồn bã sâu sắc và giảm hứng thú với mọi thứ xung quanh. Mức độ của các triệu chứng sẽ ngày càng nghiêm trọng nếu không được thăm khám và điều trị sớm. Khi cảm xúc bị ức chế, tư duy sẽ xuất hiện các biểu hiện bất thường. Do đó ngoài những triệu chứng cảm xúc, bệnh nhân trầm cảm cũng có những biểu hiện bất thường về mặt tư duy bệnh trầm cảm còn gây ra các triệu chứng cơ thể. Các triệu chứng này thường xảy ra song song với các biểu hiện về mặt cảm xúc, tư duy và hành động. Có sự giảm sút về năng lượng rõ rệt Cơ thể luôn trong trạng thái không có sức lực, mệt mỏi và uể oải Nữ giới: lãnh cảm, rối loạn kinh nguyệt, khô rát âm đạo và mất kinh,…Nam giới: rối loạn cương dương, xuất tinh sớm, giảm ham muốn,…Khó thở, đổ mồ hôi trộm, đánh trống ngực Trương lực cơ giảm Giảm khả năng hấp thu dinh dưỡng, chán ăn, tiêu chảy, táo bón,…Có triệu chứng của hội chứng ruột kích thích và loét dạ dày Trầm cảm hay rối loạn trầm cảm (Depression/ Major depressive disorder) là một dạng rối loạn cảm xúc đặc trưng bởi khí sắc trầm cảm, mất hứng thú, bi quan và buồn bã kéo dài.Thông thường, con người có cơ chế tự chữa lành đầy mạnh mẽ. Tuy hiên, bệnh nhân gần như không thể điều chỉnh tâm trạng, và ngày càng lún sâu vào cảm xúc tiêu cực.Ban đầu, trầm cảm chỉ ảnh hưởng đến sức khỏe tâm thần. Nhưng về lâu dài, bệnh gây ra những tác động tiêu cực đối với sức khỏe thể chất.Bệnh ảnh hưởng đến hiệu suất lao động, học tập và các mối quan hệ xã hội. Bệnh nhân có xu hướng tự cô lập, và có hành vi tự sát.Trong những năm gần đây, tỷ lệ người bệnh đang có xu hướng tăng lên – đặc biệt là người trẻ tuổi.Theo thống kê của Trung tâm Kiểm soát và Phòng ngừa dịch bệnh (CDC), có khoảng 8.1% người Mỹ và 5% dân số thế giới bị rối loạn trầm cảm. Các triệu chứng của trầm cảm có thể gây ra nhiều ảnh hưởng tiêu cực đối với người bệnh. Trầm cảm khiến họ mất hứng thú và cảm thấy buồn rầu liên tục, dẫn đến sự mệt mỏi về cả thể chất lẫn tinh thần. Họ gặp khó khăn trong việc tập trung, ra quyết định và hoàn thành các nhiệm vụ hằng ngày, từ đó làm giảm hiệu suất làm việc và học tập. Cảm xúc tiêu cực như lo lắng, sợ hãi và cảm giác cô đơn thường xuyên xuất hiện, làm ảnh hưởng đến khả năng duy trì mối quan hệ xã hội và gia đình. Các suy nghĩ tiêu cực và ý nghĩ tự tổn thương, thậm chí là suy nghĩ về tự sát, cũng có thể hiện diện. Tất cả những điều này có thể dẫn đến một cảm giác tự ti và thiếu tự tin, khiến cho người bệnh cảm thấy không có giá trị và thiếu hi vọng vào tương lai. Các triệu chứng chủ yếu của trầm cảm: Giảm khí sắc: bệnh nhân cảm thấy buồn vô cớ, chán nản, ảm đạm, thất vọng, bơ vơ và bất hạnh, cảm thấy không có lối thoát. Đôi khi nét mặt bất động, thờ ơ, vô cảm. Mất mọi quan tâm và thích thú: là triệu chứng hầu như luôn xuất hiện. Bệnh nhân thường phàn nàn về cảm giác ít thích thú, ít vui vẻ trong các hoạt động sở thích cũ hay trầm trọng hơn là sự mất nhiệt tình, không hài lòng với mọi thứ. Thường xa lánh, tách rời xã hội, ngại giao tiếp với mọi người xung quanh. Giảm năng lượng dẫn đến tăng mệt mỏi và giảm hoạt động.","Các triệu chứng này thường xảy ra song song với các biểu hiện về mặt cảm xúc, tư duy và hành động. Có sự giảm sút về năng lượng rõ rệt Cơ thể luôn trong trạng thái không có sức lực, mệt mỏi và uể oải Nữ giới: lãnh cảm, rối loạn kinh nguyệt, khô rát âm đạo và mất kinh,…Nam giới: rối loạn cương dương, xuất tinh sớm, giảm ham muốn,…Khó thở, đổ mồ hôi trộm, đánh trống ngực Trương lực cơ giảm Giảm khả năng hấp thu dinh dưỡng, chán ăn, tiêu chảy, táo bón,…Có triệu chứng của hội chứng ruột kích thích và loét dạ dày Trầm cảm hay rối loạn trầm cảm (Depression/ Major depressive disorder) là một dạng rối loạn cảm xúc đặc trưng bởi khí sắc trầm cảm, mất hứng thú, bi quan và buồn bã kéo dài.Thông thường, con người có cơ chế tự chữa lành đầy mạnh mẽ. Tuy hiên, bệnh nhân gần như không thể điều chỉnh tâm trạng, và ngày càng lún sâu vào cảm xúc tiêu cực.Ban đầu, trầm cảm chỉ ảnh hưởng đến sức khỏe tâm thần. Nhưng về lâu dài, bệnh gây ra những tác động tiêu cực đối với sức khỏe thể chất. Các triệu chứng chủ yếu của trầm cảm: Giảm khí sắc: bệnh nhân cảm thấy buồn vô cớ, chán nản, ảm đạm, thất vọng, bơ vơ và bất hạnh, cảm thấy không có lối thoát. Đôi khi nét mặt bất động, thờ ơ, vô cảm. Mất mọi quan tâm và thích thú: là triệu chứng hầu như luôn xuất hiện. Bệnh nhân thường phàn nàn về cảm giác ít thích thú, ít vui vẻ trong các hoạt động sở thích cũ hay trầm trọng hơn là sự mất nhiệt tình, không hài lòng với mọi thứ. Thường xa lánh, tách rời xã hội, ngại giao tiếp với mọi người xung quanh. Giảm năng lượng dẫn đến tăng mệt mỏi và giảm hoạt động."
How8,Rối loạn lo âu,Y học phát triển hiện nay ảnh hưởng như thế nào đến việc điều trị rối loạn hoảng sợ?,anxiety,1,"Khi đã nhận định được cụ thể tình trạng bệnh, các bác sĩ chuyên khoa sẽ tư vấn và lựa chọn biện pháp phù hợp nhất. Nếu được áp dụng đúng phương pháp và kiên trì sử dụng thì các triệu chứng của rối loạn hoảng sợ có thể hoàn toàn biến mất, người bệnh được phục hồi sức khỏe và cân bằng được cảm xúc, tâm trạng của mình. Hiện nay, y học phát triển nên việc điều trị rối loạn hoảng sợ cũng mang lại kết quả cao hơn. Tùy vào mức độ bệnh của mỗi người mà thời gian điều trị sẽ có phần khác nhau. Dưới đây là một số phương pháp hỗ trợ chữa trị bệnh thường được áp dụng.","Nếu được áp dụng đúng phương pháp và kiên trì sử dụng thì các triệu chứng của rối loạn hoảng sợ có thể hoàn toàn biến mất, người bệnh được phục hồi sức khỏe và cân bằng được cảm xúc, tâm trạng của mình. Hiện nay, y học phát triển nên việc điều trị rối loạn hoảng sợ cũng mang lại kết quả cao hơn."
